Molecule,Formula,Expt,Dipole,Alpha,pi_bond,Ei,axx,ayy,azz
1-fl-propano ,C3H7F,35.0,2.0,6.17,0.0,11.3,6.9,6.0,5.6
1-Propanol ,C3H8O,65.0,1.57,6.9,0.0,10.18,7.9,6.6,6.2
2-Butanona ,C4H8O,205.0,2.78,8.09,1.0,9.52,9.35,8.35,6.56
2-Metilpropionitrila ,C4H7N,274.0,4.3,8.1,2.0,11.3,9.7,7.8,6.8
2-Propanol ,C3H8O,85.0,1.58,6.93,0.0,10.17,7.4,7.0,6.4
Acetaldeído ,C2H4O,88.0,2.8,4.63,1.0,10.2,5.6,4.7,3.6
Acetona ,C3H6O,170.0,2.88,6.4,1.0,9.7,7.1,7.0,5.1
Acetonitrila ,C2H3N,180.0,3.9,4.43,2.0,12.2,6.1,3.6,3.6
Acetophenone ,C8H8O,288.0,3.02,12.19,4.0,9.28,18.48,14.76,3.33
Aniline ,C6H5NH2,233.0,1.53,12.23,3.0,7.72,15.91,13.2,7.6
Benzaldehyde ,C7H6O,220.0,3.14,13.03,4.0,9.5,17.7,13.93,7.47
Benzonitrile ,C7H5N,298.0,4.52,13.05,5.0,9.73,18.6,13.01,7.53
Bromofórmio,CHBr3,130.0,0.9,11.67,0.0,10.5,13.2,13.2,8.6
Butanal ,C4H8O,150.0,2.72,8.23,1.0,9.84,9.6,8.4,6.7
Ciclohexano ,C6H12,82.0,0.33,10.8,1.0,9.9,11.3,11.3,9.8
Ciclohexeno ,C6H10,105.0,0.33,10.53,1.0,9.0,12.19,10.74,8.66
Ciclopentanona ,C5H8O,230.0,3.3,9.17,1.0,9.3,10.3,9.6,7.6
Ciclopenteno ,C5H8,70.0,0.2,8.88,1.0,9.0,10.35,9.12,7.18
Clorofórmio ,CH3Cl3,37.0,1.0,8.4,0.0,11.4,9.4,9.3,6.5
Diclorometano ,CH2Cl2,32.0,1.6,6.37,0.0,11.3,8.3,5.7,5.1
Dimetilcarbonato ,C3H6O3,102.0,0.3,7.37,1.0,10.3,7.7,7.7,6.7
Dimetoximethano ,C3H8O2,78.0,0.7,7.55,0.0,9.7,8.62,7.3,6.73
Etanol ,C2H6O,43.0,1.44,2.27,5.0,4.6,5.1,0.0,1.7
Etilacetato ,C4H8O2,190.0,2.13,8.9,1.0,10.01,10.77,8.86,7.07
Etilformato ,C3H6O2,95.0,1.93,7.03,1.0,10.61,8.7,6.9,5.5
Furan ,C4H4O,52.0,0.66,7.31,2.0,8.88,8.75,8.0,5.19
Isobutane ,C4H10,41.0,0.132,8.07,0.0,10.57,8.41,8.41,7.38
Isopropylcloride,C3H7Cl,113.0,2.17,8.23,0.0,10.79,9.5,8.1,7.1
Metanol ,CH4O,20.0,1.69,3.2,0.0,10.8,3.5,3.1,3.0
Metilacetato ,C3H6O2,120.0,2.0,7.0,1.0,10.25,8.4,7.1,5.5
MetilBromo ,CH3Br,40.0,1.8,5.36,0.0,10.5,6.79,4.64,4.64
Methyl Chloride,CH3Cl,25.0,1.9,4.35,0.0,11.2,5.43,3.8,3.8
Metyl Formate,C2H4O2,65.0,1.8,5.3,1.0,10.8,7.2,4.8,3.9
n-Propylchloride/1-chloropropane,C3H7Cl,97.0,2.05,8.2,0.0,10.81,10.3,7.4,6.9
Phenylacetylene ,C8H6,230.0,0.66,14.59,5.0,8.82,21.8,13.72,8.26
Propanal ,C3H6O,115.0,2.8,6.33,1.0,10.0,7.0,6.9,5.1
Propionitrila ,C3H5N,245.0,4.1,6.3,2.0,11.8,8.1,5.6,5.2
Pyridazine ,C4H4N2,330.0,4.22,8.82,3.0,8.74,10.74,10.15,5.58
Pyridine ,C5H5N,186.0,2.19,9.58,3.0,9.26,11.69,10.98,6.07
Pyrrole ,C4H5N,165.0,1.77,8.21,2.0,8.2,9.6,9.2,5.83
Tolueno ,C6H5CH3,173.0,0.38,12.3,3.0,8.83,15.5,13.39,8.0
Tricloroetileno ,C2HCl3,50.0,0.8,10.2,1.0,9.5,13.6,10.3,6.7
